HCP ID,Specality,City,State,Month,Industry Contact,Total Call Data,In Person Call Data,Phone Call Data,Calls with Content,Virtual Data,Email Data
002dfd552f3aec0d6e68e16dc1c09d54681098d6,Neurology,Hartford,AL,2022-01,1,1,1,,0,0,0
0032bebd1e328ea8c4ed0698304d55e7b20dd8ea,Primary Care,rogersville,AL,2022-01,1,1,1,,1,0,0
0009f61268c603dd7d428a0d96df2be6c5f7a045,Primary Care,Phoenix,AZ,2022-01,1,2,2,,0,0,0
000dbfeff2d9f2a8d119a94caeb25c3d24e47536,Cardiology,Tempe,AZ,2022-01,1,2,1,1,0,0,0
002b5b678cb23d0b40440e77310f7163f733179b,Allergy,Scottsdale,AZ,2022-01,1,6,5,1,0,0,0
0035be110ffa6bb6cec15cf51a25444bd5f3f121,Neurology,Tucson,AZ,2022-01,1,1,1,,0,0,5
0003f077e0a17af3c520f7e67b20f20a5066997d,immunology,Daly City,CA,2022-01,1,2,2,,0,0,0
0006224dc7b4fd8fd7cc5fb204c4092c1c578dc0,Primary Care,Bakersfield,CA,2022-01,1,4,4,,0,0,0
000c903340389dd90c0b711a9093b939298aa913,Immunology,Fresno,CA,2022-01,1,2,2,,0,0,0
000cda16846c13305954d8302aa21d22df203826,Immunology,Montebello,CA,2022-01,1,2,2,,0,0,0
001caf4c8396086c396631ccbadaedbee8cf1bf4,Cardiology,Victorville,CA,2022-01,1,1,1,,0,0,0
00174a015d42638f1fd0fa0cbc2810e66c3c5ee9,Cardiology,New Haven,CT,2022-01,1,2,2,,1,0,0
000e25738049c63b67b07ee2e4dfc14ceef7798e,Primary Care,Palm Beach,FL,2022-01,1,1,1,,0,0,0
00391a484aaf54f3e4a2c5abba5d37c4894a1dd1,Cardiology,Jacksonville,FL,2022-01,1,2,2,,0,0,0
003da490962f528394136fa2e2a18983f27b71f3,Cardiology,Pensacola,FL,2022-01,1,8,6,2,0,0,0
003e0f46d879f8e0c269cd35ad02f9b98b6c4db1,Immunology,Fort Lauderdale,FL,2022-01,1,2,2,,0,0,0
004072db1ff376ba931d18173eabdbaa4619104b,Immunology,Maitland,FL,2022-01,1,4,3,1,0,0,0
00413d05682f4a1586ed3dde4591f3a27ef5fd44,Primary Care,Ocala,FL,2022-01,1,5,4,1,1,0,6
000f85f9264f9f8eb03ced692f8a529610454879,Primary Care,Blue Ridge,GA,2022-01,1,14,12,2,0,0,0
0027a7fd521942b2643ca7901ddce694d5eceda9,Primary Care,Lawrenceville,GA,2022-01,1,6,3,3,0,0,0
00288391ec76c531e81b62f77a5c091e089f3a8d,Primary Care,Tifton,GA,2022-01,1,2,2,,0,0,0
003d7142bfe832ebdae6d08205420788c2c86e53,Primary Care,Forsyth,GA,2022-01,NULL,0,0,,0,0,0
000aacb1dba9c679ef6ecc91b605bce867db8661,Primary Care,Honolulu,HI,2022-01,1,4,4,,0,0,0
000af50b9f1207600eb6f885cad217f2f264be20,Primary Care,Burlington,IA,2022-01,1,5,4,1,2,0,0
00336c6a118829c4ffbbcadf3f9d4087c69570aa,Primary Care,Waverly,IA,2022-01,1,1,1,,0,0,0
00005f6cba778a5fb50b9dec7015f4471253b384,Primary Care,Chicago,IL,2022-01,1,2,2,,0,0,0
000240910cdaa526b6236d42285c86cef7c6b9c8,Primary Care,Bloomington,IL,2022-01,1,5,0,5,0,0,0
00245e14b49967086387b424c5cee4234cb69f5d,Neurology,Wichita,KS,2022-01,1,8,5,3,0,0,0
00196d0a82ae0b5a640d6b76d70d85962546c9bf,Neurology,Ruston,LA,2022-01,1,11,9,2,0,0,0
001bac2d871a14e2e0d0335035a0a6365286b31e,Neurology,Alexandria,LA,2022-01,1,2,2,,0,0,0
0000577f5af6824bccdfc04f2c75bcf7b3a7d270,Cardiology,North Adams,MA,2022-01,1,1,1,,0,0,0
003069a9ff448bc7c7187c9312b94edbb2f81de6,Cardiology,Gardner,MA,2022-01,1,2,1,1,0,0,0
00317a75a16b7bcdb22840e9f75783d2c20ecbdd,Cardiology,Chestnut Hill,MA,2022-01,1,2,2,,0,0,1
003f70999504ace4d458dc148c6f876a0b41b25c,Cardiology,Charlton,MA,2022-01,1,4,3,1,0,0,3
0004e29a437aa6594359e4cbea6e6e6989f2aa6b,Cardiology,Bethesda,MD,2022-01,1,2,2,,0,0,0
0005721cb2e996336e2dcf87399b4e92653cb74a,Cardiology,Annapolis,MD,2022-01,1,2,0,2,0,0,0
001d8ee654002e36a7f4a7c6894a7027e53049b7,Cardiology,Frederick,MD,2022-01,1,6,4,2,1,0,0
0039e0970ee17dcb5fde36c8d0926920f1213d53,Cardiology,Frederick,MD,2022-01,1,1,1,,0,0,0
000600ad3949350aea9ba15d922aba6b762e2679,Cardiology,Rochester Hills,MI,2022-01,1,6,6,,2,0,0
002210f99e2a72d929a7bbb26565e93a18b6b950,Cardiology,Grand Rapids,MI,2022-01,1,4,4,,0,0,2
002d787a675ecd0eafc8d880d289da6259590722,Cardiology,Flint,MI,2022-01,1,10,9,1,1,0,0
00401c4024f2fa65e7d63a0f8f2c788a15d4648f,Cardiology,Dearborn,MI,2022-01,1,1,1,,0,0,0
002c2818ea1b3cf7b43d0d7228dd86adf23f3e90,Cardiology,St Louis Park,MN,2022-01,1,2,2,,0,0,0
003c9300e85b6d854a2a1c6438482b3ae7bec9d9,Cardiology,Wabasha,MN,2022-01,1,2,2,,2,0,0
0020d9dc15dfe13bd0836f8a5ecd04e246508326,Cardiology,Durham,NC,2022-01,1,6,6,,2,0,0
0033b10489bfa081b47b7ba39b88ae59ddb7dcd0,Cardiology,Statesville,NC,2022-01,1,2,2,,0,0,0
0005dd79d2c24ce7008277110d117d287e0098b1,Cardiology,Bismarck,ND,2022-01,1,2,2,,0,0,0
000f576e5e20dbb2dd53abe4ae0363846380abde,Cardiology,Dayton,NJ,2022-01,1,1,0,1,0,0,0
00185911b5e14fe12362130ee4ca5f91725cefe9,Allergy,Holmdel,NJ,2022-01,1,4,3,1,0,0,0
000faec150097885bc53184400f84d14f07e00bc,Allergy,Albuquerque,NM,2022-01,1,2,2,,0,0,0
000ae824f58d601974326fd6a5707aa792751c03,Allergy,Rochester,NY,2022-01,NULL,0,0,,0,0,0
0010a07e03cc1956efbd65bd2ff1b4c671cd0e5b,Allergy,Buffalo,NY,2022-01,1,1,1,,0,0,0
0010bfa467b0e5740abe6f9a957a77d8bd309f41,Immunology,Syracuse,NY,2022-01,1,1,1,,0,0,0
002ce262d9bf7a0ac7924a2f18b2e5c530093165,Immunology,New York,NY,2022-01,1,1,1,,0,0,0
003a4f8c9bdcc6acc459d0f0c8b75881b4c4ff50,Immunology,Jefferson Valley,NY,2022-01,1,1,0,1,0,0,0
000424ee8c3c3e023bce7e9409fe8d7fa8088e4e,Neurology,Delaware,OH,2022-01,1,1,1,,0,0,0
000d2027e7b6289be5b7a9ef4b531e48ab799c30,Neurology,Martins Ferry,OH,2022-01,1,2,2,,0,0,0
0023a0c4cb1d937ffd9c1a7f073383fab913a3e2,Neurology,Portsmouth,OH,2022-01,1,3,3,,0,0,0
003084319f1f9f96f2d53d7c41e2c84b00d2dc0c,Neurology,Cincinnati,OH,2022-01,1,1,1,,0,0,0
00353b331064835a27b989168c1c02c4d93c6bdf,Neurology,Springfield,OH,2022-01,1,2,2,,0,0,0
00106894c97819ba4728d40f3aec09b8c86652f2,Neurology,Oklahoma City,OK,2022-01,1,11,9,2,0,0,0
002182635f07320b68bf1b97fbd8834d2fadfac9,Neurology,Midwest City,OK,2022-01,1,1,1,,0,0,0
00396e46e9413c1c4ab67ef34c768d8249c21b2c,Neurology,Broken Arrow,OK,2022-01,1,4,4,,0,0,0
0040dc85754e620b590324cf2eabfbddaddf948d,Neurology,Eugene,OR,2022-01,NULL,0,0,,0,0,0
000451f5877e0408ab244695835b692919c65c01,Neurology,Irwin,PA,2022-01,1,5,5,,0,0,0
001f0b71c15f5ba05ad6467002ff30ddc15c9a0a,Neurology,Smithfield,PA,2022-01,1,5,4,1,0,0,0
002ee8c6e31679c43aceb99dc36a3b5d160808a9,Neurology,Clearfield,PA,2022-01,1,1,1,,0,0,0
002f00e98f9e844a51ad60bb1fc6b413e0e5e479,Neurology,Irmo,SC,2022-01,1,1,1,,0,0,0
0009467729b972ece985670c0e9cb2646062d318,Neurology,Bristol,TN,2022-01,1,3,3,,0,0,0
0024721805f60d623995fe602eac8b738bfd93a8,Neurology,Lawrenceburg,TN,2022-01,1,5,2,3,1,0,0
002a6a252bb3fd80ccca8413c139f95cb04f86dd,Primary Care,Brentwood,TN,2022-01,1,1,1,,0,0,0
003a2cc291c162dd529f6558a510bcb359479448,Primary Care,Erwin,TN,2022-01,1,3,3,,0,0,0
00076b9b5335368c03b5d2323db77404ec2f779c,Primary Care,San Antonio,TX,2022-01,1,9,8,1,0,0,0
000c5962e46e618fb9095a9a0cb6d84da9810377,Primary Care,Corpus Christi,TX,2022-01,1,5,4,1,0,0,0
002363095d04435cedf44cae07f307e5168ae3f4,Primary Care,Dickinson,TX,2022-01,1,1,1,,0,0,0
002cc01e08fea7bc5ac8a6d8a62e11c433367eff,Cardiology,Mcallen,TX,2022-01,1,6,4,2,0,0,0
002f67a69630e146fb5809b5c918a000fb784de1,,Mckinney,TX,2022-01,1,2,2,,0,0,0
003316f32d6e2fc9c14dd204a19816a20ae7ba41,Cardiology,Fulshear,TX,2022-01,1,1,1,,0,0,0
0035cb1872820ad0b7d7a35ec2d742f0bfa54355,Neurology,Waco,TX,2022-01,1,2,2,,0,0,0
